dist,smooth_w,smooth_g,drn_ar
1261.249,73.3975471423193,0.03411433,95120100
1291.249,73.3975471423193,0.03411433,95119200
1333.675,74.6637572713082,0.03294447,95117400
1363.675,74.6637572713082,0.03294447,95115600
1406.102,73.6884115010786,0.03167224,95114700
1478.528,72.3118202322833,0.03154717,95085900
1520.954,71.041396751031,0.03288994,95085000
1665.807,70.4308939161899,0.03141646,95060700
1708.234,69.8774176226412,0.03152922,95004000
1750.66,68.5782298068649,0.03070352,95002200
1823.086,66.3575617032399,0.02857457,94984200
1865.513,64.5192611048469,0.02998395,94981500
1950.365,62.4360827667709,0.03962042,94706100
1980.365,62.9107093731843,0.04147611,94700700
2052.792,62.6018859529776,0.0406075,94698000
2137.645,61.6374602634468,0.03994742,3850200
2167.645,59.9896323056239,0.03972927,3849300
2240.072,58.7583387853006,0.04008727,3846600
2354.925,51.914024544601,0.03741927,3834900
2384.925,48.9741085873778,0.03764229,3831300
2414.925,48.9741085873778,0.03764229,3646800
2517.351,48.0905086354682,0.03727745,89566200
2589.778,47.0519154789186,0.03833185,89559900
2662.204,43.2032441254818,0.03933942,89555400
2764.631,39.2753016435567,0.0406072,89525700
2794.631,39.2753016435567,0.0406072,89523900
2837.057,38.7724678895771,0.03877847,89523000
2879.484,37.4347000824895,0.03843198,89521200
3156.763,31.8389733910898,0.03394811,89472600
3199.19,30.9899254871515,0.03533291,89433900
3229.19,31.1811213774307,0.03500249,89432100
3259.19,31.1811213774307,0.03500249,89373600
3331.616,32.5289234042158,0.03328745,89361000
3374.043,41.1204300871438,0.03371859,89329500
3416.469,42.6953974230288,0.03449813,89293500
3488.896,49.8338056396566,0.03602541,89265600
3531.322,50.9061030580296,0.03588372,88979400
3603.749,52.7560678343509,0.03606632,88939800
3646.175,52.6242208750194,0.03634569,88912800
3718.602,55.33220793584,0.03704124,88881300
3761.028,56.5900082092104,0.03603502,88878600
3803.455,56.5900082092104,0.03603502,88825500
3833.455,56.8104388273376,0.03832249,88822800
3863.455,56.8104388273376,0.03832249,88734600
3935.881,58.8038745351153,0.03911779,85462200
3978.308,56.3584006755038,0.03887986,85461300
4008.308,58.4900395998246,0.03729614,85455000
4038.308,57.0732273110514,0.03558111,85454100
4068.308,57.0732273110514,0.03558111,85452300
4080.734,57.0732273110514,0.03558111,2439000
4123.161,55.0735489948793,0.0365602,2428200
4243.161,54.322058368022,0.03817225,2407500
4315.587,52.2295225159111,0.03973801,2361600
4418.013,43.2229358930648,0.04139813,2355300
4460.439,37.116490332326,0.04249876,2354400
4532.866,27.3278764900718,0.04338463,2336400
4605.292,17.784423085484,0.04311473,2328300
4647.718,15.5030541794666,0.04315922,2232000
4750.145,14.2421528851432,0.04678153,2065500
4852.571,13.1777575595178,0.04719219,2010600
4924.997,16.1484728963521,0.05007541,2003400
4967.423,18.8825926494353,0.05248339,1992600
5009.85,20.8901241668769,0.05601832,1991700
5052.276,23.1845486384583,0.05949471,1954800
5094.702,22.8614807634415,0.07074615,1947600
5197.128,24.6134225905978,0.0720264,1890900
5239.555,24.6134225905978,0.0720264,1889100
5311.981,25.1966673984864,0.07536343,1855800
5354.407,25.259890254384,0.07816544,1854900
5396.833,25.259890254384,0.07816544,1754100
5439.26,26.1201548359828,0.07826086,1752300
5481.686,27.5671337852107,0.08062652,1649700
5524.112,29.0941420774622,0.08423975,1642500
5554.112,30.7049471879946,0.09114034,1641600
5584.112,30.7049471879946,0.09114034,1634400
