river_w,river_w_std,cl_d,cl_d_std,up_dist,dn_dist,drain_area,pw_drain_area,grad
135.739945631761,3.41270017663923,216.675113971417,8.27278324037086,1236.396,17839.64,69793200,78406103.3095837,0.05270463
142.897001647949,1.41022264620265,186.193014017741,9.48317585715091,1193.969,17882.07,70006500,78645725.820601,0.09519716
135.051304626465,3.09627220488683,153.790579223633,9.45552910753944,1193.969,17882.07,70006500,78645725.820601,0.09519716
134.795059712728,5.40986422072461,122.520319620768,8.96638712689615,1163.969,17912.07,70009200,78648759.016943,0.08207382
150.145587158203,2.6063746871874,91.1119954427083,9.46755300890201,1133.969,17942.07,70011900,78651792.213285,0.06897061
134.919260810403,8.65660029639318,62.6690476361443,6.8347518503132,1103.969,17972.07,70096500,78746832.365334,0.03952847
124.415879211426,0.642337980869178,538.330444335938,7.76882262416235,1665.807,17410.24,68404500,76846029.3243527,0.06666667
126.931371561686,2.17907250134383,509.499427286784,9.16942110662056,1593.381,17482.66,69732900,78338361.9246125,0.04859127
136.80751546224,4.02185995297669,476.986543782552,9.94592675354129,1593.381,17482.66,69732900,78338361.9246125,0.04859127
144.244606526693,0.623531333708972,444.197499593099,9.61867039139681,1593.381,17482.66,69732900,78338361.9246125,0.04859127
143.10375773112,1.71035729625764,412.154038492839,9.31323580831931,1508.528,17567.51,69750000,78357572.1681118,0.02429563
143.237091064453,1.63382429259923,380.662864176432,9.13378429434845,1508.528,17567.51,69750000,78357572.1681118,0.02429563
146.731372070312,1.48319847472248,349.585934448242,9.01021249207584,1508.528,17567.51,69750000,78357572.1681118,0.02429563
152.599466451009,2.08519116951858,317.542474365234,9.81350821044046,1308.822,17767.22,69780600,78391948.393321,0.1455354
148.590263366699,2.48235046688001,284.435861206055,9.82401818227477,1308.822,17767.22,69780600,78391948.393321,0.1455354
137.878918965658,3.61202836021082,251.522558085124,9.52119121069117,1308.822,17767.22,69780600,78391948.393321,0.1455354
132.621322631836,0.552791242909147,233.252304077148,1.29099444873581,1236.396,17839.64,69793200,78406103.3095837,0.05270463
108.676846430852,6.86967539626637,42.88966017503,4.98764955986325,1103.969,17972.07,70096500,78746832.365334,0.03952847
72.2591014589582,14.7725966791461,16.7693285090583,10.367247804009,1073.969,18002.07,70097400,78747843.4307814,0.04166667
111.326635360718,3.34615022631304,1053.7392578125,6.41624184945879,2188.233,16887.81,67933800,76317242.0953989,0.03435922
94.889582824707,4.91075155318635,1026.25397542318,9.91887474027484,2158.233,16917.81,67943700,76328363.8153195,0.0412479
79.537670135498,3.75353768781784,993.105965169271,9.57495302110311,2128.233,16947.81,67958100,76344540.8624768,0.02946278
54.36873143514,7.59612650110975,960.952048746745,9.55441215953264,2098.233,16977.81,67959000,76345551.9279242,0.02124592
42.6465651194255,1.78603979639241,928.12158203125,9.42205144770209,2068.233,17007.81,68247000,76669092.8710699,0.0372678
47.5408459981283,2.12831882378119,897.058451334635,9.15958660715992,2038.233,17037.81,68250600,76673137.1328592,0.04487638
54.8387139638265,4.47899236864857,864.683622233073,9.93404742282612,2008.233,17067.81,68255100,76678192.4600959,0.124861
67.7306285858154,1.96813108006822,830.320562744141,10.1394241758834,1978.233,17097.81,68258700,76682236.7218852,0.1700694
96.0323954264323,13.9524366191248,796.60644938151,9.24650234977061,1948.233,17127.81,68267700,76692347.3763585,0.1717961
136.623405456543,7.27001931369341,764.190201822917,10.5078938222722,1918.233,17157.81,68269500,76694369.5072532,0.1546726
152.209100850423,3.25215885940764,730.531325276693,9.61792612251025,1918.233,17157.81,68269500,76694369.5072532,0.1546726
156.719934082031,0.51615020372978,698.625946044922,9.18951732144852,1785.807,17290.24,68319000,76749978.1068563,0.1265185
155.51323445638,1.53525739514524,667.245225016276,9.33501716779227,1785.807,17290.24,68319000,76749978.1068563,0.1265185
145.051306152344,3.91465960015248,635.091314697266,9.27900284323585,1755.807,17320.24,68332500,76765144.0885663,0.1169639
130.724672190348,3.92406443800215,604.249076334635,9.3022432854558,1725.807,17350.24,68346900,76781321.1357236,0.07383353
124.798037719727,0.404186741990099,572.661254882812,9.29175384304003,1695.807,17380.24,68393700,76833896.5389848,0.05803495
124.931370544434,0.153460127905286,554.291442871094,1.58113883008419,1665.807,17410.24,68404500,76846029.3243527,0.06666667
126.667681076947,4.16175030700928,1282.2823342716,5.35579445446073,2410.66,16665.38,64588500,72559111.8276715,0.1345001
132.499499511719,2.16462670346219,1257.72405192057,9.15225726609116,2380.66,16695.38,64593900,72565178.2203555,0.1160699
121.134147135417,4.56183807400228,1225.74960530599,9.42736009665322,2350.66,16725.38,64635300,72611687.2309327,0.05892557
109.456856028239,1.68304508244097,1191.60750732422,9.80095351509712,2278.233,16797.81,64662300,72642019.1943526,0.06718548
101.643346913656,3.04933008988288,1158.62516276042,9.92183894054963,2278.233,16797.81,64662300,72642019.1943526,0.06718548
97.6841288248698,1.11310447204025,1124.24830322266,9.94697591626706,2248.233,16827.81,64664100,72644041.3252473,0.07660323
101.083655802409,3.30195184905049,1091.74923095703,9.30263875756278,2218.233,16857.81,67925700,76308142.5063729,0.03584302
110.325482940674,1.85005808225456,1070.23043212891,3.44575362196433,2188.233,16887.81,67933800,76317242.0953989,0.03435922
116.740676879883,1.30005418780199,1410.32749938965,2.77795618813998,2543.086,16532.96,64297800,72232537.6881838,0.06718548
122.890313212077,1.46413481200937,1389.77766113281,9.39477058413714,2470.66,16605.38,64583100,72553045.4349875,0.08700255
120.379899342855,1.44020339674991,1357.66519775391,9.51741699785228,2470.66,16605.38,64583100,72553045.4349875,0.08700255
