dist,smooth_w,smooth_g,drn_ar
114.8528,39.2182867709834,0.2017285,35575200
144.8528,39.2182867709834,0.2017285,35551800
187.2792,39.6236940116628,0.2071658,35547300
302.132,39.6693378853878,0.2064087,35438400
332.132,40.4426064889933,0.2034236,35425800
404.5584,39.9454722470105,0.1891981,35398800
434.5584,39.4818399079698,0.1986803,35324100
506.9848,39.1756266241763,0.1978067,34998300
536.9848,39.1756266241763,0.1978067,34983000
609.4112,39.0339696193589,0.1905888,34969500
669.4112,36.7366679283076,0.1973019,34851600
741.8376,34.4360677574493,0.1926317,34841700
814.264,32.1071071757572,0.1884822,34785900
844.264,31.9749565264318,0.1843603,34212600
874.264,31.0410907851686,0.1809757,34211700
904.264,30.0523337563854,0.1813062,34197300
934.264,30.3114783639739,0.1797485,34175700
1006.69,29.1006288857611,0.172627,34150500
1079.117,26.3990699373232,0.1691531,34081200
1151.543,24.3955704090931,0.158761,34017300
1193.97,22.8352908801021,0.1499259,33983100
1236.396,22.3647959861718,0.1542394,33972300
1266.396,21.1391143083113,0.1495014,33886800
1308.822,20.417915461196,0.1439448,33850800
1351.249,17.7908770305742,0.1413567,33838200
1393.675,16.6218100206499,0.1418594,33699600
1436.102,14.7849577363272,0.1265764,33696900
1478.528,14.4744514916044,0.1272916,33655500
1508.528,13.3608361259326,0.1248326,33585300
1538.528,13.0623522704006,0.1225652,33572700
1568.528,13.0623522704006,0.1225652,28539000
1610.954,11.7577249637387,0.1293774,28530900
1640.954,11.7041925286993,0.1300807,28496700
1670.954,11.1850175839641,0.1320924,28483200
1700.954,10.737023806187,0.133534,28476000
1743.381,10.1043270678262,0.1376204,28461600
1773.381,10.0643541888372,0.1340718,28457100
1803.381,9.92055201573321,0.1385815,28441800
1833.381,9.48685001085421,0.1410251,28413900
1863.381,9.34028109968827,0.141962,28404900
1905.807,9.1479030680157,0.136113,28380600
1948.234,8.8511212170168,0.136997,28350900
1990.66,8.47061823755471,0.1405673,28322100
2033.086,8.25348786835836,0.1430892,28286100
2075.513,7.6671554041533,0.1384105,26486100
2105.513,7.57739759712536,0.1353534,26440200
2135.513,7.26867795057941,0.131873,26422200
2165.513,7.21614751289959,0.1320961,26420400
2207.939,6.93386884252541,0.1366079,26413200
2280.366,6.44337406346288,0.1390714,26372700
2322.792,6.16887863492145,0.1478149,26366400
2365.219,6.11077509649677,0.1629308,26354700
2407.645,6.08547933654442,0.1759421,26005500
2450.072,6.0424452796364,0.1767841,25973100
2480.072,5.97670862204921,0.1702435,25970400
2552.498,5.96647146988032,0.17766,25902900
2594.925,5.89340268493538,0.1803187,25841700
2667.351,5.41787204003051,0.1781499,25773300
2709.778,5.37950412579079,0.1748506,25763400
2752.204,5.37950412579079,0.1748506,24469200
2794.631,5.33231639701209,0.1700869,24441300
2837.057,5.28588876137912,0.1711561,24426000
2879.484,5.28659038832219,0.1801769,24391800
2921.91,5.3501986259197,0.1883409,24390000
2964.337,5.30746743085967,0.1809962,24341400
3006.763,5.37180712613697,0.1842941,24300000
3079.19,5.44633959961955,0.194778,24198300
