dist,smooth_w,smooth_g,drn_ar
234.8528,85.4183363563935,0.07891126,76071600
277.2792,83.8480175942043,0.07826865,76053600
307.2792,83.8480175942043,0.07826865,76049100
337.2792,83.8480175942043,0.07826865,76048200
409.7056,78.9655916596885,0.07496839,76001400
452.132,78.9655916596885,0.07496839,75966300
524.5584,78.5265295983697,0.0740746,75938400
554.5584,78.5265295983697,0.0740746,75815100
626.9848,78.3122992379,0.07540227,75810600
686.9848,77.1751903154406,0.08017056,31054500
729.4112,77.1751903154406,0.08017056,31051800
771.8376,73.9939434576308,0.08734819,31049100
844.264,69.7170929392017,0.1012527,31039200
874.264,68.8232906533039,0.09753639,31033800
904.264,68.8232906533039,0.09753639,31027500
989.1168,69.726344991924,0.0866089,31014000
1061.543,71.1656254310259,0.08348355,31005000
1133.97,75.065734271852,0.08845101,30966300
1163.97,75.065734271852,0.08845101,30962700
1236.396,78.6570188645229,0.09009527,30956400
1278.822,82.6974847142057,0.09070084,30948300
1351.249,95.2835168707484,0.08679694,30933000
1423.675,105.283136897408,0.08982789,30912300
1453.675,105.283136897408,0.08982789,30906900
1496.102,111.363177941529,0.09248725,30897000
1526.102,111.363177941529,0.09248725,30797100
1556.102,111.363177941529,0.09248725,30787200
1598.528,113.042274871132,0.09013412,30780900
1628.528,111.209230110721,0.09005822,30556800
1700.954,108.042475471872,0.08765838,30547800
1743.381,108.233010669811,0.08072516,30539700
1785.807,107.635885269753,0.07608712,30538800
1815.807,107.635885269753,0.07608712,30481200
1845.807,107.635885269753,0.07608712,30471300
1875.807,107.955438926495,0.07812771,30452400
1918.234,106.286383297158,0.0804849,30447000
1960.66,106.01177674905,0.08259501,30439800
1990.66,106.01177674905,0.08259501,30423600
2063.086,105.531622740046,0.08941931,30420900
2105.513,103.446498790706,0.09786742,30322800
2135.513,102.189655050453,0.09746923,30321900
2165.513,100.021378928294,0.09642679,30321000
2195.513,100.021378928294,0.09642679,30317400
2237.939,96.7424972397849,0.09883282,30098700
2280.366,94.5234084248176,0.09960077,30096900
2352.792,80.8032924422776,0.1115101,30087000
2382.792,76.3415565443051,0.1157901,30078000
2455.219,71.7482038238326,0.114213,30069000
2540.072,62.427586837833,0.138793,29797200
2570.072,60.4686907031595,0.1397932,29791800
2642.499,61.4396609933336,0.1370897,29780100
2714.925,62.3871747801476,0.1443167,29709000
2787.352,69.5994488503205,0.1568853,29691000
2817.352,70.1926003471906,0.1549916,29590200
2847.352,70.410588191261,0.1540758,29587500
2877.352,70.765452419121,0.1561034,29582100
2907.352,71.1494247505768,0.1532034,29578500
2979.778,73.135953915848,0.1513776,29567700
3022.205,72.6793759871345,0.1529073,29549700
3064.631,72.4084012351442,0.1479988,29515500
3107.058,73.2398044376344,0.1422676,29507400
3221.911,74.5110469646283,0.1388644,6513120
3264.337,75.2010891316858,0.138919,28408500
3294.337,76.0927959920569,0.1427814,28334700
3336.764,75.4202863627159,0.1428258,28328400
3366.764,74.5366469938495,0.1431724,28319400
3396.764,73.7926569544369,0.1428872,28048500
3426.764,74.1654633275482,0.1468854,28038600
3456.764,73.1245781619805,0.1459783,28035900
3499.19,73.9003885732066,0.125067,28014300
3541.617,72.830242872112,0.1240904,28012500
3614.043,70.7204810815892,0.1261015,27955800
3686.47,66.1173858484924,0.1245597,27705600
3728.896,62.677427143989,0.1215585,27669600
3771.323,61.3224511965074,0.1216581,27633600
3813.749,59.5800130436492,0.1366407,27626400
3843.749,58.9290415573471,0.1366391,27618300
3886.176,57.6288148714851,0.1425981,27613800
3928.602,54.6594650957021,0.1463011,27594000
4001.029,53.520472963862,0.1423596,27507600
4031.029,54.0541695859412,0.1438603,27502200
4061.029,54.6514467365791,0.1506225,27484200
4091.029,54.9352506679244,0.1499453,27477000
4121.029,54.459226682135,0.1526854,27451800
4151.029,54.6516103716042,0.1580913,25670700
4181.029,54.6516103716042,0.1580913,25650000
4211.029,53.9836450949378,0.1596351,25633800
4283.455,51.7484931829332,0.1607316,25616700
4355.881,51.4945527185107,0.1583737,25596000
4428.308,50.6116339857768,0.1557747,25553700
4458.308,50.4272550032328,0.157447,25534800
4488.308,50.311990931954,0.1607359,24671700
4518.308,50.1883467801034,0.1642725,24653700
4548.308,49.4440567025366,0.1672716,24648300
4578.308,48.2827161088563,0.1714499,24632100
4608.308,48.2068449283814,0.1754697,24607800
4638.308,48.3240894432706,0.180815,24597000
4710.734,49.3140379338373,0.1891722,24564600
4740.734,49.4929835565994,0.1848266,24519600
4770.734,49.3426600094129,0.1808005,24385500
4800.734,49.6548776657159,0.1686701,24373800
4830.734,49.6548776657159,0.1686701,24361200
4903.16,50.3736072417224,0.1584263,24337800
4933.16,50.463614209152,0.1594237,24323400
4963.16,50.2390173260498,0.1603823,24311700
4993.16,49.6193231820556,0.1606693,24293700
5023.16,48.307140163823,0.1559514,23650200
5053.16,47.7748167588751,0.1709421,23649300
5125.586,46.9692182406779,0.1841346,23642100
5168.013,47.1274239215251,0.1856895,23637600
5198.013,47.1274239215251,0.1856895,23634000
5240.439,46.4404743584697,0.1904296,23623200
5270.439,45.8876290367084,0.18798,23594400
5300.439,45.3359972241344,0.1878394,23593500
5342.865,43.4922937193672,0.1950542,23575500
5372.865,43.4922937193672,0.1950542,23572800
5415.292,43.5209689763668,0.2057011,23560200
5517.718,43.1940355762132,0.2182283,22578300
