dist,smooth_w,smooth_g,drn_ar
42.42641,23.015154363158,0.1041992,61133400
72.42641,22.9021488033531,0.09900943,61102800
114.8528,23.0844067546351,0.09809438,61100100
157.2792,23.6912058481403,0.09666979,61093800
187.2792,23.7619385338608,0.1015931,61062300
217.2792,23.7619385338608,0.1015931,60942600
247.2792,23.4983593912864,0.1018493,60941700
277.2792,23.1327694483822,0.1008159,60879600
319.7056,23.1740077105108,0.1003914,60878700
349.7056,23.420958604643,0.1044539,60808500
422.132,23.2682981129312,0.1050793,60781500
464.5584,23.2232390316438,0.1012644,60734700
494.5584,22.8632156276221,0.1034427,60726600
524.5584,22.4505760497809,0.1048035,60724800
554.5584,22.5122497298139,0.1070771,60723900
584.5584,23.2626104258048,0.1105119,60691500
626.9848,23.2749577059066,0.1135657,60391800
656.9848,23.2749577059066,0.1135657,60362100
686.9848,23.0121176097508,0.1131331,60337800
729.4112,22.8815166764202,0.1165887,60299100
759.4112,22.46142516042,0.1126323,60285600
801.8376,22.2783512306215,0.1084216,60260400
831.8376,22.4367280126503,0.1138896,60182100
874.264,22.5380666405479,0.1166418,60180300
904.264,22.3868703038354,0.1174428,60174900
946.6904,22.2748205141582,0.1221303,60121800
976.6904,22.3263219335963,0.1207945,60060600
1019.117,23.5273175468687,0.1174114,59889600
1049.117,23.6328371979382,0.1181211,59851800
1079.117,24.4900110727705,0.1212661,59839200
1109.117,25.429938525857,0.1205774,59835600
1181.543,26.7299400203834,0.1257835,59706900
1223.969,26.8813702495401,0.1211052,59459400
1253.969,27.1713812399554,0.1251258,59446800
1283.969,27.7792436592727,0.1311247,59418900
1313.969,27.9177337497936,0.1325932,59363100
1356.396,27.9541489911763,0.1270032,59305500
1386.396,28.1690864193888,0.129354,59303700
1416.396,28.4700782944748,0.1362808,59270400
1446.396,28.487223373003,0.1424171,59261400
1488.822,29.0540701142079,0.1566261,59179500
1518.822,29.0540701142079,0.1566261,59152500
1561.249,30.6889632567645,0.1634118,59149800
1591.249,30.4042699857236,0.1606988,59147100
1621.249,30.2866210789796,0.165097,58896900
1663.675,30.1580187223693,0.1698693,58857300
1693.675,30.3273538605994,0.1747411,58811400
1736.101,30.5655010837574,0.1773195,58801500
1766.101,30.945484193277,0.182892,38510400
1850.954,31.0066689421874,0.1865108,56216700
1893.381,31.3739506350868,0.1833161,56195100
1923.381,31.9385603488683,0.1870275,56186100
1953.381,32.0808503537968,0.1869707,56165400
1983.381,31.8799897521702,0.1844863,56160900
2025.807,30.7022885676314,0.1829637,56156400
2055.807,30.3648163258509,0.1851133,54423900
2085.807,29.8306690710102,0.1876383,54408600
2115.807,28.7120223864374,0.1912214,54387000
2158.234,27.4380218848047,0.1921364,54320400
2188.234,26.7875795275143,0.1907378,54297000
2218.234,26.4997921612225,0.190563,54296100
2260.66,26.3314334492532,0.1907447,54253800
2290.66,25.9724221592285,0.1868098,54249300
2320.66,25.9724221592285,0.1868098,54245700
2350.66,25.5627910177979,0.18943,54157500
2393.087,25.1416748934779,0.1934407,54145800
2423.087,25.0222555035637,0.1882508,54144000
2465.513,24.6775311739146,0.1772789,54125100
2495.513,24.4624061894795,0.1690783,54087300
2525.513,24.1863646642076,0.167419,54042300
2555.513,23.8073713069718,0.1645239,53957700
2597.94,23.2511477607072,0.1694391,53952300
2627.94,23.0462245462358,0.165457,53921700
2670.366,22.9352187139645,0.1572126,53911800
2700.366,22.6172886131445,0.1555477,53882100
2730.366,22.2798323555959,0.1537206,53866800
2772.793,21.9164242363454,0.1490763,53834400
2845.219,21.3091074435112,0.15359,53424900
2887.646,20.863324745674,0.143064,53345700
2930.072,20.4363952599546,0.142521,53344800
2972.499,20.721397177329,0.1506848,53308800
3014.925,20.5962014026638,0.1531638,53282700
3057.352,20.3327910736116,0.1508222,53265600
3087.352,20.1695450166586,0.1551391,53244900
3129.778,20.1804313405069,0.158797,53228700
3172.205,20.3360287382052,0.1569557,53178300
3214.631,20.7224868375704,0.1591095,53165700
3257.058,21.4823350840889,0.1498578,52929900
3299.484,21.4673056610354,0.1524976,52864200
3329.484,21.5738201890529,0.1590282,52822800
3359.484,22.3279524524805,0.1634556,52821900
3389.484,23.2609367636458,0.1703313,49927500
3419.484,24.036212073609,0.1749892,49914000
3449.484,24.7225595980963,0.1812503,49875300
3491.911,25.1699120727403,0.1858332,49852800
