dist,smooth_w,smooth_g,drn_ar
8242.047,5.0258077607066,0.1451087,8180100
8272.047,5.00148198884796,0.1463905,8177400
8314.474,5.0314551655373,0.1489635,7876800
8374.474,4.93385789580983,0.1549426,5522400
8416.9,4.9310781939574,0.1607111,5508900
8459.327,4.85325450958458,0.1667099,5499000
8501.754,4.85325450958458,0.1667099,5483700
8574.181,4.78150374684832,0.1617944,5426100
8616.607,4.78150374684832,0.1617944,5422500
8646.607,4.78150374684832,0.1617944,5393700
8761.461,4.81548568858053,0.1673678,5337900
8791.461,4.84548451200586,0.1715661,5242500
8863.888,4.77379956996055,0.176216,5051700
8906.314,4.52924385377695,0.1940787,5047200
8936.314,4.31688950391455,0.1924696,5023800
9008.741,4.29603944095091,0.1943332,5003100
9038.741,4.24676031607897,0.1864799,4971600
9068.741,4.22298824880341,0.1779968,4968900
9183.595,4.14096063730718,0.1771477,4808700
9226.021,4.09789663392578,0.1712363,4790700
9256.021,4.05136261661935,0.1739362,4789800
9298.448,3.9254988432484,0.180942,4704300
9370.875,3.86241084452431,0.1819888,4666500
9400.875,3.82561802697835,0.1875772,4664700
9430.875,3.73177737797754,0.1908569,4635900
9503.302,3.63613153187993,0.1945202,4189500
9533.302,3.57606534180494,0.2031985,4188600
9563.302,3.52323226732077,0.2064144,4181400
9593.302,3.47873819540685,0.20835,4170600
9623.302,3.45212638980945,0.2084358,3976200
9695.729,3.32077616665877,0.2074563,3597300
9725.729,3.32077616665877,0.2074563,3596400
9755.729,3.23531324563512,0.2087902,3508200
9785.729,3.14144537099205,0.2136029,3497400
9858.155,3.09999778623432,0.2173759,3442500
9888.155,3.04741858916896,0.2086791,3430800
9918.155,3.04675818239825,0.2046727,3417300
9960.582,3.0117089122911,0.2092946,3349800
9990.582,3.0117089122911,0.2092946,3317400
10020.58,2.94755244107127,0.2128784,3292200
10105.44,2.8244442435152,0.243866,3280500
10135.44,2.82290576652065,0.2404932,3278700
10165.44,2.82290576652065,0.2404932,3262500
