dist,smooth_w,smooth_g,drn_ar
42.42641,23.166814416994,0.1101002,21047400
84.85281,21.3261700511532,0.114861,21046500
127.2792,20.9135288706534,0.1169416,21045600
169.7056,21.0188061504208,0.1190378,21044700
199.7056,21.6356950761748,0.118466,21039300
242.132,21.1853165518478,0.1194824,20994300
272.132,21.1853165518478,0.1194824,20988000
314.5584,20.7045692156446,0.1143337,20986200
356.9848,20.1093351426469,0.1160935,20515500
386.9848,19.1011382405036,0.1183779,20513700
416.9848,18.6979489190561,0.1174443,20484000
446.9848,18.1656846741743,0.1166498,20480400
476.9848,17.939365838442,0.1155009,20474100
519.4112,17.9162724959764,0.1140804,20444400
549.4112,18.0434241865655,0.1123753,20415600
579.4112,18.258820060579,0.1112287,20412900
609.4112,18.0594935517569,0.1087017,20403000
639.4112,17.0072485196338,0.1091188,20392200
681.8376,15.4745265407592,0.1114988,20376900
711.8376,14.1196816005969,0.113977,20078100
741.8376,14.037969297725,0.1137298,20076300
784.264,13.1652788708028,0.1172003,19276200
814.264,13.1652788708028,0.1172003,19274400
844.264,13.0926453151752,0.1201996,19248300
874.264,12.885429527144,0.1220989,15786900
886.6904,12.6955813752857,0.1232688,3454200
916.6904,12.6277556457478,0.1221728,15780600
946.6904,12.6026600283706,0.1209109,15774300
976.6904,12.5617082476441,0.1200469,15769800
1006.69,12.5622137491727,0.1178607,15765300
1036.69,12.5530551556194,0.1189793,15759000
1066.69,12.5855255428398,0.1182634,15728400
1096.69,12.6453711591771,0.1173172,15724800
1139.117,12.3683491493375,0.1177915,15711300
1169.117,12.0315694474946,0.1166018,15704100
1211.543,11.197993576345,0.1182128,12929400
1241.543,10.7575525385825,0.1188248,12925800
1283.97,10.6588864667646,0.1188327,12904200
1326.396,10.1693542265789,0.1273102,12903300
1356.396,10.1632605329772,0.1300794,12900600
1386.396,10.1235546070029,0.1307854,12893400
1416.396,10.0958050258303,0.1336705,12888000
1446.396,10.4027914588924,0.1372244,12875400
1476.396,11.1292131310273,0.1403189,12874500
1506.396,11.4844870435832,0.1433797,12825900
1536.396,11.5965757373179,0.1465919,12820500
1566.396,11.8962828102226,0.1493822,12816900
1596.396,11.6992324046838,0.1512308,12798900
1626.396,11.4933790345435,0.1532573,12798000
1698.822,11.4565276260544,0.1507994,12762000
1728.822,11.681522188326,0.1493345,12758400
1801.249,12.4202405731049,0.1490117,12718800
1843.675,13.0446261430709,0.1455202,12712500
1873.675,13.3821436668365,0.1424446,12705300
1903.675,13.8217928182086,0.1404282,12700800
1946.102,14.814769584242,0.138022,12549600
1976.102,15.1214846561284,0.1413144,12546000
2006.102,15.4550426264178,0.1427284,12541500
2036.102,15.5845155107994,0.143346,12534300
2066.102,15.4889950473702,0.1450121,12516300
2096.102,15.3864247028862,0.1448471,12501000
2126.102,15.7037319481445,0.1429933,12479400
2156.102,16.4381215833554,0.1439407,12472200
2186.102,16.6312174709433,0.1464953,12441600
2216.102,16.9355137869621,0.1466225,12428100
2246.102,17.3230532981275,0.1510912,12423600
2318.528,17.6677055962955,0.1503401,12352500
2348.528,17.7271528458669,0.146569,12344400
2378.528,17.9545820604504,0.1440823,12334500
2408.528,18.1524523478158,0.1408245,12319200
2438.528,17.8512188416727,0.1397243,12312900
2468.528,17.7998501334872,0.1387504,12267900
2510.955,17.3883420808441,0.1364199,12259800
2540.955,17.0483664659936,0.1348185,12245400
2583.381,16.793889328534,0.1325053,12217500
2613.381,16.6003098602809,0.1314965,12207600
2643.381,16.2827621737173,0.1309298,11430000
2673.381,16.1018347834483,0.1345657,11383200
2703.381,15.8067644815961,0.1393743,11379600
2745.808,15.7641388876706,0.1422634,11368800
2775.808,14.902034817484,0.1458823,11364300
2805.808,14.5382523837375,0.1471117,11346300
2835.808,13.8064825021978,0.1496583,11341800
2865.808,13.4869656774362,0.1515926,11315700
2895.808,13.0300906336931,0.1525706,11311200
2925.808,12.2671765485698,0.1615049,11296800
2968.234,11.7175475925168,0.1698966,11267100
2998.234,11.3493135297921,0.1740447,11016900
3028.234,11.173297889174,0.176994,11005200
3058.234,11.1057530723448,0.1756167,11004300
3088.234,11.0267961218834,0.174477,10850400
3118.234,10.757622620451,0.1776056,10817100
3148.234,10.2129135906923,0.1770937,10392300
3190.661,9.40010933617886,0.1673368,10319400
3263.087,8.47463928152681,0.1612056,10277100
3293.087,7.86613703383703,0.1622862,10262700
3323.087,7.69132868400842,0.1648107,10252800
3365.514,7.69976327727487,0.1676554,10225800
3395.514,7.78313574304432,0.1694744,10215000
3425.514,8.27827554437038,0.1691947,9990000
3467.94,8.79010341247025,0.1716945,9981000
3497.94,9.01935373760091,0.1688425,9977400
3527.94,8.74786391595954,0.1695737,9974700
3557.94,8.57045526058315,0.1734446,9970200
3587.94,8.35613794805955,0.17653,9963000
3660.367,8.20252403824518,0.1781974,9836100
3690.367,8.50476936579914,0.1738775,9812700
3720.367,8.63496542257266,0.1753186,9798300
3750.367,8.63496542257266,0.1753186,9792900
3780.367,9.28787715730649,0.1786782,9750600
3822.793,9.49984977139517,0.1785148,9675000
3852.793,10.506306913737,0.1866024,9665100
3882.793,11.4488646714707,0.1996113,9654300
3912.793,12.4202378712759,0.2076338,9608400
3942.793,13.637645172115,0.203483,9603000
3985.22,14.70666771634,0.1960263,8441100
4057.646,16.6444018507788,0.1887339,8409600
4130.073,17.7669692981646,0.197092,8393400
4172.499,18.1851848766534,0.2026328,8357400
4214.925,18.7449635132752,0.2087733,8320500
4274.925,20.1661010100784,0.2193572,1068300
4347.352,21.3824439739846,0.2201405,1013400
4372.204,21.9069315312991,0.2206965,7211700
4377.352,22.1363961168101,0.2265025,1011600
4402.204,22.4223229672402,0.2285309,7206300
4432.204,22.2483798796049,0.23421,7195500
4462.204,21.6945564998852,0.2446928,7169400
4492.204,21.0173219163035,0.2531934,7167600
4522.204,21.0173219163035,0.2531934,7154100
4552.204,20.3958702283591,0.2570041,7138800
4624.63,19.7059015969258,0.2566182,7072200
4654.63,19.9322372480182,0.2604495,7042500
4684.63,19.4193670342417,0.2653604,7041600
4714.63,19.4193670342417,0.2653604,7038000
