day_number,grdc_mean_daily_runoff_mm_day,grdc_smoothed_mean_daily_runoff_mm_day,trmm_mean_daily_rainfall_mm_day,trmm_smoothed_mean_daily_rainfall_mm_day
1,8.13176470588235,10.1011764705882,5.79863612651825,2.9864338942202
2,13.1124705882353,9.9036124567474,9.22982625961304,2.92022135222842
3,14.7727058823529,9.74682352941176,2.44484749039014,2.79201882426558
4,15.8569411764706,9.47635913312693,0.429657026256124,2.87734774968244
5,13.0108235294118,9.29731764705882,2.98664503097534,3.06333169708805
6,10.3002352941176,9.22890756302521,0.219432063897451,2.99873877300304
7,10.3341176470588,9.04812834224599,5.83964350620906,3.04272840068337
8,12.2992941176471,8.87570332480818,3.48443456490835,2.9858450122515
9,10.9778823529412,8.6555294117647,1.59125689665476,3.22377285843638
10,7.28470588235294,8.44619294117647,4.44282584587733,3.47812420321877
11,8.09788235294118,8.27511312217194,1.03474643031756,3.71970221126476
12,7.6235294117647,8.12423529411764,6.12454961140951,3.75020633996062
13,9.18211764705882,7.97566386554622,0.798122596740723,4.05740429788628
14,7.35247058823529,8.13994320486815,1.80579363505046,4.19687913519534
15,6.70870588235294,8.21308235294117,0.509954261779785,4.34728107353543
16,6.57317647058824,8.25745730550284,1.04257096092527,4.39985170268719
17,6.74258823529412,8.24215559772296,1.86082068036,4.37066135069065
18,7.08141176470588,8.07165085388995,0.612575848897298,4.28114548520065
19,4.608,7.79840607210626,4.41326840718587,4.28796740670047
20,5.89552941176471,7.47707020872866,6.5970266977946,4.30853348914377
21,7.86070588235294,7.22131309297913,1.706880291303,4.25340351502465
22,5.25176470588235,7.05190132827325,3.96651058197021,4.33671009074339
23,5.08235294117647,6.86828083491461,1.73441046675046,4.36198666673097
24,3.59152941176471,6.6759165085389,8.69611332068841,4.27030152073374
25,3.42211764705882,6.50103984819734,9.58255647799621,4.33496935781115
26,3.99811764705882,6.42781024667932,9.75915241241455,4.21602098278605
27,4.20141176470588,6.39392789373814,4.54331368605296,4.24686618476289
28,3.96423529411765,6.43327514231499,12.3517491618792,4.10636196631722
29,12.7397647058824,6.40922960151803,8.10217457984885,4.20670021212533
30,10.3341176470588,6.45841366223909,8.70893728539813,4.22780317181204
31,9.58870588235294,6.54585199240987,5.97697057723999,4.38152077838281
32,7.65741176470588,6.62673244781784,4.89373521462548,4.42382746106157
33,7.82682352941176,6.63110436432638,6.45483442942301,4.73418089894481
34,6.30211764705882,6.56989753320683,2.65632705688477,4.91447211170352
35,5.89552941176471,6.61361669829222,1.06720558199838,5.21114926805703
36,5.08235294117647,6.60268690702087,1.27761583328247,5.31174003340508
37,5.04847058823529,6.71635673624288,2.80193591117859,5.3549636037604
38,4.64188235294118,6.76881973434535,6.62321736182397,5.40180148839674
39,6.336,6.79614421252372,0.642195038994153,5.52566889407538
40,5.55670588235294,6.85516508538899,3.59595984605451,5.26282525940652
41,5.01458823529412,6.97102087286528,0.755426220099131,5.03350958569239
42,7.0475294117647,7.02020493358634,1.99094769159953,5.02437722299853
43,8.84329411764706,7.0442504743833,1.76891883959373,5.05545542395407
44,8.43670588235294,7.03332068311196,3.90860821679235,5.08474304196819
45,8.87717647058824,6.76116888045541,2.45998538533847,4.9280095719947
46,9.41929411764706,6.56989753320683,5.27520006547372,4.7855314691628
47,9.0804705882353,6.36551043643264,2.35407812396685,4.72449539146825
48,6.87811764705882,6.22342314990512,11.4817772547404,4.69037366645525
49,5.184,6.11740417457306,6.20160344441732,4.64749820314001
50,5.96329411764706,6.11959013282732,13.6102602541447,4.6773164564052
51,5.55670588235294,6.05073244781784,9.71534042358399,4.83979020649367
52,11.3844705882353,6.01794307400379,3.04681097231805,5.01993152356897
53,6.87811764705882,5.97968880455408,5.41848500569661,5.282228809518
54,5.92941176470588,5.95564326375712,5.57430004278819,5.15102511315096
55,5.42117647058824,5.87585578747628,0.547960645953814,5.20729175242846
56,7.01364705882353,5.93706261859583,2.47377059285839,5.25117897140363
57,5.52282352941176,6.01685009487666,9.47604916890462,5.42415595991757
58,4.94682352941176,5.9676660341556,5.50673791567485,5.49191369960505
59,3.62541176470588,5.88350664136622,13.2596653203169,5.49141871597698
60,4.30305882352941,5.7884174573055,3.2434370106707,5.54445528874514
61,4.40470588235294,5.69879316888046,4.2921160976092,5.48969770823155
62,3.25270588235294,5.56763567362429,4.08485216870904,5.39432982100795
63,3.25270588235294,5.45177988614801,3.83596173922221,5.69063502784258
64,4.54023529411765,5.42445540796964,5.12569506665071,5.4007427477408
65,6.36988235294118,5.45505882352941,3.58069290810575,5.4199502625032
66,3.76094117647059,5.44631499051233,6.10389183474084,5.01388216724479
67,4.06588235294118,5.4485009487666,6.86199666261673,4.76751997321644
68,3.86258823529412,5.25722960151803,10.9331517755985,4.8167379273302
69,3.89647058823529,5.22116129032258,2.55590277444571,4.75333499752426
70,3.86258823529412,5.22662618595825,2.38646085659663,4.77394473401089
71,7.45411764705882,5.24957874762808,4.95646363428483,4.80685964997217
72,7.488,5.21678937381404,6.11771286403139,5.01695478770642
73,5.52282352941176,5.25067172675522,4.09143762191137,4.80507179659501
74,6.23435294117647,5.338110056926,1.7535743471235,4.63380514561769
75,5.48894117647059,5.49331309297913,5.55274197260539,4.28501990366006
76,6.09882352941177,5.78076660341556,0.762500389417012,4.41191548267079
77,5.35341176470588,5.87476280834915,2.31879556154211,4.49251629874631
78,5.48894117647059,5.98952561669829,11.5395395358404,4.57434201807144
79,6.03105882352941,6.11412523719165,2.49511657158534,4.45666753901469
80,6.13270588235294,6.21467931688804,6.79703640205165,4.40249982715174
81,5.69223529411765,6.27588614800759,1.02214930113405,4.40195034898177
82,5.62447058823529,6.46715749525617,2.07811240870506,4.3522406254164
83,5.45505882352941,6.56989753320683,4.57256754984458,4.21067826876877
84,5.76,6.7261935483871,3.45299418171247,3.96524752651652
85,6.09882352941177,6.88139658444023,6.21320187387367,3.98834331770057
86,6.13270588235294,7.0158330170778,1.5683230407536,3.9912323891696
87,5.99717647058824,7.05518026565465,8.98671986262004,3.90434502316338
88,6.57317647058824,7.11201518026565,2.90767644445101,3.80778822022821
89,7.65741176470588,7.20710436432637,0.197471735378106,3.78227734335408
90,8.43670588235294,7.30437950664137,2.44732281963031,3.99632580958067
91,13.2141176470588,7.35247058823529,7.1771999600033,3.85263656466168
92,7.31858823529412,7.42351423149905,6.79074139595032,3.92139959575919
