day_number,grdc_mean_daily_runoff_mm_day,grdc_smoothed_mean_daily_runoff_mm_day,trmm_mean_daily_rainfall_mm_day,trmm_smoothed_mean_daily_rainfall_mm_day
1,5.68669090909091,4.35387272727273,0.355200292666753,2.47515804172338
2,4.78341818181818,4.33524705882353,5.44705610672633,2.33141138881591
3,4.60276363636364,4.30036363636364,3.35138195355733,2.38119377781533
4,4.45352727272727,4.27204593301436,2.95516182693342,2.60776198998486
5,4.17861818181818,4.23870545454546,3.65023569464684,2.71809240143125
6,3.91941818181818,4.23659220779221,1.07547428309917,2.61600383009821
7,3.75447272727273,4.22288925619835,2.84022097587585,2.7120633352943
8,3.33818181818182,4.20593833992095,2.35815726915995,2.77113430552401
9,3.58167272727273,4.18810909090909,1.210271803538,2.70113543744406
10,3.58952727272727,4.16950690909091,2.45606211423874,2.71162533633411
11,3.77018181818182,4.13572027972028,0.591834954420726,2.71897994385411
12,4.86196363636363,4.11112727272727,7.77133450508118,2.74660581554988
13,5.05832727272727,4.11241558441558,2.36755208969116,3.10685930719067
14,6.15796363636364,4.11821943573668,1.13089802463849,3.40515551305451
15,4.28072727272727,4.14850909090909,0.672673463821411,3.47255565973206
16,3.64450909090909,4.19711436950147,1.36901330947876,3.56992836546513
17,4.03723636363636,4.17380410557185,0.031464942296346,3.58199076258367
18,3.70734545454545,4.17557771260997,3.22749439080556,3.41699621504353
19,3.76232727272727,4.19154017595308,6.68598980903626,3.33799630669496
20,3.60523636363636,4.21459706744868,4.81437021891276,3.24685747786475
21,4.19432727272727,4.24829560117302,0.574232403437297,3.18508743140246
22,3.93512727272727,4.28503460410557,4.72931294441223,3.32521938488128
23,3.83301818181818,4.29897008797654,4.07069565057755,3.35303844584012
24,3.77803636363636,4.32278709677419,1.0911614716053,3.32008742028747
25,3.72305454545454,4.36129970674487,2.96338290969531,3.49212120513842
26,3.29105454545455,4.38790381231672,2.90284513185422,3.5059148946797
27,3.47170909090909,4.41045395894428,3.46487847963969,3.60872006935859
28,4.1472,4.42185571847507,12.8337035814921,3.37647660554497
29,4.28072727272727,4.40234604105572,11.757449277242,3.35762250100172
30,5.02690909090909,4.3689008797654,5.42715991338094,3.40385627166959
31,5.65527272727273,4.38308973607038,6.49110953745743,3.55886491496236
32,4.96407272727273,4.40969384164223,0.72913460334142,3.65339576785443
33,4.8384,4.44009853372434,0.332225132981936,3.88544405363099
34,5.0976,4.46442228739003,0.902384794751803,4.05965611765622
35,5.16829090909091,4.47227683284458,0.129858133196831,3.92626440279106
36,5.22327272727273,4.4928,1.73536425431569,3.92296946161697
37,5.05832727272727,4.49761407624633,5.41956484094262,3.94898163776404
38,4.18647272727273,4.51965747800587,3.70261186559995,3.8598980312466
39,4.07650909090909,4.52776539589443,1.33667547702789,3.82544676050223
40,4.77556363636364,4.53359296187683,6.54331913391749,4.00051544802964
41,4.41425454545455,4.55943695014663,2.88366649001837,3.96654810117938
42,4.46923636363636,4.5878146627566,3.77879536946615,4.08456579907447
43,5.21541818181818,4.60732434017595,0.571787126859029,4.22434093002831
44,4.45352727272727,4.60301700879765,1.78307484885057,4.09478306590069
45,5.12116363636364,4.60124340175953,2.56414491534233,3.96980708811072
46,4.72058181818182,4.56526451612903,5.47794140589734,4.02567455059979
47,4.46923636363636,4.51028269794721,4.29946974913279,3.99844625097129
48,4.97978181818182,4.4755706744868,7.22496180136999,3.99596261553547
49,4.46138181818182,4.44085865102639,8.62806837558746,4.14122324831063
50,4.00581818181818,4.39905219941349,2.55084664821625,4.18342223598432
51,4.24145454545454,4.35141818181818,4.71222704251607,4.21824007729689
52,4.34356363636364,4.30505102639296,1.38060986399651,4.34508655997374
53,4.61847272727273,4.26907214076246,1.9677211423715,4.28675738048329
54,4.08436363636364,4.26197771260997,3.00270625750224,4.25260523500782
55,3.95869090909091,4.27591319648094,6.51829078495502,4.33870377913118
56,4.52421818181818,4.25539002932551,1.91039515733719,4.17331713567017
57,4.17076363636364,4.26197771260997,6.56139376660188,4.1992339100168
58,4.07650909090909,4.25767038123167,7.79790753920873,4.13446039008678
59,4.01367272727273,4.23638709677419,8.81740979353587,4.3346448950149
60,4.22574545454545,4.23005278592375,7.88319396575292,4.47172767868446
61,3.91156363636364,4.21079648093842,7.1590512505422,4.40497762877294
62,3.95083636363636,4.20800938416422,5.64703224897385,4.29242434542105
63,3.888,4.22599882697947,0.652141904830933,4.43079252514227
64,3.76232727272727,4.24500175953079,4.83530474901199,4.27371301345367
65,3.8016,4.27464633431085,2.21055341263612,4.06015007420974
66,3.69163636363636,4.30530439882698,1.20921121388674,4.04435243025342
67,3.78589090909091,4.3286146627566,5.66760521729787,4.00994394115944
68,3.94298181818182,4.33114838709677,3.6113602767388,4.14594303903481
69,3.96654545454545,4.32152023460411,2.64389535586039,4.18524311449659
70,4.50850909090909,4.32050674486803,4.00573034485181,4.24150382897626
71,4.13934545454546,4.32988152492669,1.41633318662643,4.14578220830249
72,4.61847272727273,4.31898651026393,3.68708649476369,4.34059123075217
73,4.33570909090909,4.32380058651026,1.77081625163555,4.36827837860672
74,4.55563636363636,4.34179002932551,6.77750677963098,4.26770868984562
75,4.25716363636364,4.35927272727273,6.03264114260674,4.18224749317373
76,4.52421818181818,4.39423812316716,0.494893368085225,4.06841308938199
77,4.63418181818182,4.44921994134898,1.98878962198893,3.95403051432623
78,5.02690909090909,4.46999648093842,8.58888332049052,3.93673834488477
79,5.56887272727273,4.50521524926686,2.35549693902334,4.02092694601905
80,5.38036363636364,4.55132903225806,2.00761725902557,3.9779001321223
81,4.95621818181818,4.59085513196481,2.0611196855704,4.02139165244636
82,4.96407272727273,4.63950263929619,3.64556388060252,4.0798144824903
83,4.42210909090909,4.75149325513197,5.59658189813296,3.97292950696722
84,4.32,4.85056187683284,3.18602348168691,3.94222658099707
85,4.05294545454545,4.996757771261,4.74678840637207,3.95358109717127
86,4.24930909090909,5.04261818181818,3.55092054406802,3.92346947147681
87,4.18647272727273,5.08214428152493,7.94947485327721,4.01802605893062
88,4.32,5.12040351906158,7.41969535009315,3.99228031214887
89,4.63418181818182,5.19388152492669,4.68024718761444,4.035032137229
90,4.55563636363636,5.23087390029326,6.16811269670725,3.94069284546159
91,5.30967272727273,5.28788269794721,4.35432744820913,3.88240575168122
92,5.616,5.32842228739003,3.6131914238135,3.97632233679335
93,4.59490909090909,5.3798568914956,5.11097499628862,4.07859165435557
94,4.97978181818182,5.41431554252199,3.26198853999376,3.90002445368076
95,5.19185454545455,5.42546392961877,3.50147351821264,3.95108294287717
96,5.02690909090909,5.45688211143695,3.55879054268201,3.97810157330967
97,5.19970909090909,5.50426275659824,3.02031894524892,4.02768122079752
98,7.2576,5.55113665689149,2.35417097608248,4.01779694531754
99,7.01410909090909,5.60409149560117,2.65956957166394,4.01054849695334
100,8.49861818181818,5.66667448680352,2.9958853572607,4.02448080464276
101,5.93018181818182,5.73609853372434,3.07226994832357,3.96046626459086
102,5.36465454545455,5.77689149560117,4.34758739769459,3.95366445677455
103,5.80450909090909,5.79716129032258,2.88896834452947,3.79707424557538
104,6.61352727272727,5.80982991202346,3.09612282911936,3.66299969672516
105,5.7024,5.83415366568915,3.85298873484135,3.63676029337991
106,6.02443636363636,5.89318944281525,4.22574123541514,3.54655651602373
107,5.78094545454545,5.92435425219941,3.40630750656128,3.54818488864168
108,6.22865454545455,5.92182052785924,5.15913846641779,3.57718894364693
109,6.09512727272727,5.94589090909091,3.05330009957155,3.59338112603272
110,5.91447272727273,5.96312023460411,3.93831010411183,3.62581539766122
111,6.35432727272727,5.96261348973607,2.84519480243325,3.66186988017251
112,6.42501818181818,5.96489384164223,3.59808875769377,3.69438498898219
113,6.41716363636364,5.96185337243402,3.33915134072304,3.73472023990846
114,6.06370909090909,5.90737829912023,5.37187999884287,3.76873027829714
115,6.26007272727273,5.87824046920821,3.61792502005895,3.83227620585471
116,6.20509090909091,5.80729618768328,2.76233766476313,3.89886152797969
117,5.51389090909091,5.80957653958944,3.34006450176239,3.91296574680876
118,4.81483636363636,5.82604574780059,3.09517830610275,3.89200766127436
119,4.71272727272727,5.83035307917889,3.26338433573643,3.92043421475958
120,5.38821818181818,5.81692434017595,3.86682568391164,3.937776963581
121,6.38574545454545,5.83466041055719,3.37179559866587,3.90697480184577
122,6.27578181818182,5.83085982404692,4.40480699936549,3.90572614926965
