yr,mnth,dy,Q,R
1978,1,1,2160000,9.07563025210084
1978,1,2,3628800,15.2470588235294
1978,1,3,2851200,11.9798319327731
1978,1,4,1814400,7.62352941176471
1978,1,5,1987200,8.34957983193277
1978,1,6,2937600,12.3428571428571
1978,1,7,6825600,28.6789915966387
1978,1,8,3110400,13.0689075630252
1978,1,9,1987200,8.34957983193277
1978,1,10,1555200,6.53445378151261
1978,1,11,1296000,5.4453781512605
1978,1,12,1123200,4.71932773109244
1978,1,13,1036800,4.3563025210084
1978,1,14,950400,3.99327731092437
1978,1,15,1036800,4.3563025210084
1978,1,16,950400,3.99327731092437
1978,1,17,864000,3.63025210084034
1978,1,18,777600,3.2672268907563
1978,1,19,691200,2.90420168067227
1978,1,20,604800,2.54117647058824
1978,1,21,604800,2.54117647058824
1978,1,22,604800,2.54117647058824
1978,1,23,604800,2.54117647058824
1978,1,24,864000,3.63025210084034
1978,1,25,950400,3.99327731092437
1978,1,26,1123200,4.71932773109244
1978,1,27,2073600,8.71260504201681
1978,1,28,1209600,5.08235294117647
1978,1,29,1123200,4.71932773109244
1978,1,30,950400,3.99327731092437
1978,1,31,777600,3.2672268907563
1978,2,1,1123200,4.71932773109244
1978,2,2,1555200,6.53445378151261
1978,2,3,1987200,8.34957983193277
1978,2,4,1814400,7.62352941176471
1978,2,5,1468800,6.17142857142857
1978,2,6,1296000,5.4453781512605
1978,2,7,1555200,6.53445378151261
1978,2,8,1555200,6.53445378151261
1978,2,9,1555200,6.53445378151261
1978,2,10,1382400,5.80840336134454
1978,2,11,1296000,5.4453781512605
1978,2,12,1123200,4.71932773109244
1978,2,13,1036800,4.3563025210084
1978,2,14,1036800,4.3563025210084
1978,2,15,1555200,6.53445378151261
1978,2,16,5184000,21.781512605042
1978,2,17,4406400,18.5142857142857
1978,2,18,2073600,8.71260504201681
1978,2,19,3628800,15.2470588235294
1978,2,20,2678400,11.253781512605
1978,2,21,14947200,62.8033613445378
1978,2,22,5097600,21.418487394958
1978,2,23,2851200,11.9798319327731
1978,2,24,2246400,9.43865546218487
1978,2,25,1728000,7.26050420168067
1978,2,26,1555200,6.53445378151261
1978,2,27,1468800,6.17142857142857
1978,2,28,1468800,6.17142857142857
1978,3,1,1382400,5.80840336134454
1978,3,2,1382400,5.80840336134454
1978,3,3,1382400,5.80840336134454
1978,3,4,1382400,5.80840336134454
1978,3,5,1296000,5.4453781512605
1978,3,6,1382400,5.80840336134454
1978,3,7,1209600,5.08235294117647
1978,3,8,1209600,5.08235294117647
1978,3,9,1728000,7.26050420168067
1978,3,10,3628800,15.2470588235294
1978,3,11,3196800,13.4319327731092
1978,3,12,1900800,7.98655462184874
1978,3,13,1468800,6.17142857142857
1978,3,14,1987200,8.34957983193277
1978,3,15,1728000,7.26050420168067
1978,3,16,1296000,5.4453781512605
1978,3,17,1123200,4.71932773109244
1978,3,18,1036800,4.3563025210084
1978,3,19,950400,3.99327731092437
1978,3,20,1036800,4.3563025210084
1978,3,21,1728000,7.26050420168067
1978,3,22,1555200,6.53445378151261
1978,3,23,1555200,6.53445378151261
1978,3,24,1468800,6.17142857142857
1978,3,25,1728000,7.26050420168067
1978,3,26,1468800,6.17142857142857
1978,3,27,1468800,6.17142857142857
1978,3,28,1728000,7.26050420168067
1978,3,29,1382400,5.80840336134454
1978,3,30,1468800,6.17142857142857
1978,3,31,1728000,7.26050420168067
1978,4,1,1382400,5.80840336134454
1978,4,2,1209600,5.08235294117647
1978,4,3,1209600,5.08235294117647
1978,4,4,1209600,5.08235294117647
1978,4,5,1468800,6.17142857142857
1978,4,6,2764800,11.6168067226891
1978,4,7,5356800,22.5075630252101
1978,4,8,3110400,13.0689075630252
1978,4,9,7516800,31.5831932773109
1978,4,10,4147200,17.4252100840336
1978,4,11,2505600,10.527731092437
1978,4,12,1900800,7.98655462184874
1978,4,13,1641600,6.89747899159664
1978,4,14,1382400,5.80840336134454
1978,4,15,1382400,5.80840336134454
1978,4,16,1468800,6.17142857142857
1978,4,17,1641600,6.89747899159664
1978,4,18,2332800,9.80168067226891
1978,4,19,1555200,6.53445378151261
1978,4,20,1555200,6.53445378151261
1978,4,21,2505600,10.527731092437
1978,4,22,1641600,6.89747899159664
1978,4,23,1468800,6.17142857142857
1978,4,24,1555200,6.53445378151261
1978,4,25,1555200,6.53445378151261
1978,4,26,1382400,5.80840336134454
1978,4,27,1296000,5.4453781512605
1978,4,28,2592000,10.890756302521
1978,4,29,1641600,6.89747899159664
1978,4,30,4752000,19.9663865546218
1978,5,1,2505600,10.527731092437
1978,5,2,2073600,8.71260504201681
1978,5,3,2073600,8.71260504201681
1978,5,4,2073600,8.71260504201681
1978,5,5,1814400,7.62352941176471
1978,5,6,1555200,6.53445378151261
1978,5,7,1555200,6.53445378151261
1978,5,8,1296000,5.4453781512605
1978,5,9,1555200,6.53445378151261
1978,5,10,1468800,6.17142857142857
1978,5,11,1555200,6.53445378151261
1978,5,12,1296000,5.4453781512605
1978,5,13,2160000,9.07563025210084
1978,5,14,3888000,16.3361344537815
1978,5,15,1728000,7.26050420168067
1978,5,16,1555200,6.53445378151261
1978,5,17,2851200,11.9798319327731
1978,5,18,1987200,8.34957983193277
1978,5,19,1555200,6.53445378151261
1978,5,20,1382400,5.80840336134454
1978,5,21,1296000,5.4453781512605
1978,5,22,1296000,5.4453781512605
1978,5,23,1123200,4.71932773109244
1978,5,24,1296000,5.4453781512605
1978,5,25,1382400,5.80840336134454
1978,5,26,1296000,5.4453781512605
1978,5,27,1382400,5.80840336134454
1978,5,28,1382400,5.80840336134454
1978,5,29,1641600,6.89747899159664
1978,5,30,1555200,6.53445378151261
1978,5,31,1555200,6.53445378151261
1978,6,1,1296000,5.4453781512605
1978,6,2,1123200,4.71932773109244
1978,6,3,4492800,18.8773109243697
1978,6,4,3110400,13.0689075630252
1978,6,5,1987200,8.34957983193277
1978,6,6,1555200,6.53445378151261
1978,6,7,1382400,5.80840336134454
1978,6,8,1296000,5.4453781512605
1978,6,9,1296000,5.4453781512605
1978,6,10,1641600,6.89747899159664
1978,6,11,1209600,5.08235294117647
1978,6,12,1123200,4.71932773109244
1978,6,13,1123200,4.71932773109244
1978,6,14,1036800,4.3563025210084
1978,6,15,1036800,4.3563025210084
1978,6,16,950400,3.99327731092437
1978,6,17,864000,3.63025210084034
1978,6,18,777600,3.2672268907563
1978,6,19,1036800,4.3563025210084
1978,6,20,777600,3.2672268907563
1978,6,21,777600,3.2672268907563
1978,6,22,691200,2.90420168067227
1978,6,23,864000,3.63025210084034
1978,6,24,950400,3.99327731092437
1978,6,25,691200,2.90420168067227
1978,6,26,604800,2.54117647058824
1978,6,27,604800,2.54117647058824
1978,6,28,518400,2.1781512605042
1978,6,29,518400,2.1781512605042
1978,6,30,2073600,8.71260504201681
1978,7,1,950400,3.99327731092437
1978,7,2,777600,3.2672268907563
1978,7,3,691200,2.90420168067227
1978,7,4,518400,2.1781512605042
1978,7,5,518400,2.1781512605042
1978,7,6,518400,2.1781512605042
1978,7,7,518400,2.1781512605042
1978,7,8,432000,1.81512605042017
1978,7,9,518400,2.1781512605042
1978,7,10,432000,1.81512605042017
1978,7,11,518400,2.1781512605042
1978,7,12,432000,1.81512605042017
1978,7,13,432000,1.81512605042017
1978,7,14,432000,1.81512605042017
1978,7,15,432000,1.81512605042017
1978,7,16,345600,1.45210084033613
1978,7,17,345600,1.45210084033613
1978,7,18,345600,1.45210084033613
1978,7,19,345600,1.45210084033613
1978,7,20,345600,1.45210084033613
1978,7,21,345600,1.45210084033613
1978,7,22,345600,1.45210084033613
1978,7,23,345600,1.45210084033613
1978,7,24,345600,1.45210084033613
1978,7,25,345600,1.45210084033613
1978,7,26,259200,1.0890756302521
1978,7,27,259200,1.0890756302521
1978,7,28,259200,1.0890756302521
1978,7,29,259200,1.0890756302521
1978,7,30,259200,1.0890756302521
1978,7,31,259200,1.0890756302521
1978,8,1,691200,2.90420168067227
1978,8,2,259200,1.0890756302521
1978,8,3,691200,2.90420168067227
1978,8,4,432000,1.81512605042017
1978,8,5,518400,2.1781512605042
1978,8,6,604800,2.54117647058824
1978,8,7,432000,1.81512605042017
1978,8,8,345600,1.45210084033613
1978,8,9,345600,1.45210084033613
1978,8,10,259200,1.0890756302521
1978,8,11,259200,1.0890756302521
1978,8,12,259200,1.0890756302521
1978,8,13,259200,1.0890756302521
1978,8,14,259200,1.0890756302521
1978,8,15,259200,1.0890756302521
1978,8,16,259200,1.0890756302521
1978,8,17,5011200,21.0554621848739
1978,8,18,2851200,11.9798319327731
1978,8,19,1555200,6.53445378151261
1978,8,20,1382400,5.80840336134454
1978,8,21,950400,3.99327731092437
1978,8,22,864000,3.63025210084034
1978,8,23,1036800,4.3563025210084
1978,8,24,691200,2.90420168067227
1978,8,25,1209600,5.08235294117647
1978,8,26,691200,2.90420168067227
1978,8,27,604800,2.54117647058824
1978,8,28,518400,2.1781512605042
1978,8,29,518400,2.1781512605042
1978,8,30,518400,2.1781512605042
1978,8,31,432000,1.81512605042017
1978,9,1,432000,1.81512605042017
1978,9,2,432000,1.81512605042017
1978,9,3,432000,1.81512605042017
1978,9,4,518400,2.1781512605042
1978,9,5,432000,1.81512605042017
1978,9,6,432000,1.81512605042017
1978,9,7,432000,1.81512605042017
1978,9,8,432000,1.81512605042017
1978,9,9,432000,1.81512605042017
1978,9,10,13132800,55.1798319327731
1978,9,11,2505600,10.527731092437
1978,9,12,864000,3.63025210084034
1978,9,13,691200,2.90420168067227
1978,9,14,691200,2.90420168067227
1978,9,15,691200,2.90420168067227
1978,9,16,604800,2.54117647058824
1978,9,17,604800,2.54117647058824
1978,9,18,950400,3.99327731092437
1978,9,19,691200,2.90420168067227
1978,9,20,518400,2.1781512605042
1978,9,21,432000,1.81512605042017
1978,9,22,432000,1.81512605042017
1978,9,23,518400,2.1781512605042
1978,9,24,1555200,6.53445378151261
1978,9,25,1641600,6.89747899159664
1978,9,26,777600,3.2672268907563
1978,9,27,604800,2.54117647058824
1978,9,28,518400,2.1781512605042
1978,9,29,518400,2.1781512605042
1978,9,30,6307200,26.5008403361345
1978,10,1,3456000,14.5210084033613
1978,10,2,1036800,4.3563025210084
1978,10,3,691200,2.90420168067227
1978,10,4,518400,2.1781512605042
1978,10,5,518400,2.1781512605042
1978,10,6,432000,1.81512605042017
1978,10,7,432000,1.81512605042017
1978,10,8,345600,1.45210084033613
1978,10,9,345600,1.45210084033613
1978,10,10,345600,1.45210084033613
1978,10,11,345600,1.45210084033613
1978,10,12,345600,1.45210084033613
1978,10,13,345600,1.45210084033613
1978,10,14,345600,1.45210084033613
1978,10,15,345600,1.45210084033613
1978,10,16,345600,1.45210084033613
1978,10,17,259200,1.0890756302521
1978,10,18,345600,1.45210084033613
1978,10,19,259200,1.0890756302521
1978,10,20,259200,1.0890756302521
1978,10,21,259200,1.0890756302521
1978,10,22,1036800,4.3563025210084
1978,10,23,1641600,6.89747899159664
1978,10,24,691200,2.90420168067227
1978,10,25,432000,1.81512605042017
1978,10,26,432000,1.81512605042017
1978,10,27,8380800,35.2134453781513
1978,10,28,3974400,16.6991596638655
1978,10,29,2505600,10.527731092437
1978,10,30,1468800,6.17142857142857
1978,10,31,1036800,4.3563025210084
1978,11,1,777600,3.2672268907563
1978,11,2,691200,2.90420168067227
1978,11,3,518400,2.1781512605042
1978,11,4,518400,2.1781512605042
1978,11,5,518400,2.1781512605042
1978,11,6,432000,1.81512605042017
1978,11,7,691200,2.90420168067227
1978,11,8,518400,2.1781512605042
1978,11,9,432000,1.81512605042017
1978,11,10,432000,1.81512605042017
1978,11,11,432000,1.81512605042017
1978,11,12,432000,1.81512605042017
1978,11,13,345600,1.45210084033613
1978,11,14,345600,1.45210084033613
1978,11,15,345600,1.45210084033613
1978,11,16,345600,1.45210084033613
1978,11,17,345600,1.45210084033613
1978,11,18,345600,1.45210084033613
1978,11,19,345600,1.45210084033613
