yr,mnth,dy,Q,R
1978,1,1,4320000,16.9411764705882
1978,1,2,7689600,30.1552941176471
1978,1,3,3542400,13.8917647058824
1978,1,4,1987200,7.79294117647059
1978,1,5,1641600,6.43764705882353
1978,1,6,3283200,12.8752941176471
1978,1,7,5011200,19.6517647058823
1978,1,8,2937600,11.52
1978,1,9,1900800,7.45411764705882
1978,1,10,1382400,5.42117647058824
1978,1,11,1296000,5.08235294117647
1978,1,12,1036800,4.06588235294118
1978,1,13,950400,3.72705882352941
1978,1,14,864000,3.38823529411765
1978,1,15,2160000,8.47058823529412
1978,1,16,1209600,4.74352941176471
1978,1,17,864000,3.38823529411765
1978,1,18,777600,3.04941176470588
1978,1,19,604800,2.37176470588235
1978,1,20,518400,2.03294117647059
1978,1,21,518400,2.03294117647059
1978,1,22,518400,2.03294117647059
1978,1,23,432000,1.69411764705882
1978,1,24,518400,2.03294117647059
1978,1,25,604800,2.37176470588235
1978,1,26,691200,2.71058823529412
1978,1,27,1814400,7.11529411764706
1978,1,28,1382400,5.42117647058824
1978,1,29,1036800,4.06588235294118
1978,1,30,864000,3.38823529411765
1978,1,31,691200,2.71058823529412
1978,2,1,777600,3.04941176470588
1978,2,2,1209600,4.74352941176471
1978,2,3,1468800,5.76
1978,2,4,1641600,6.43764705882353
1978,2,5,1382400,5.42117647058824
1978,2,6,1209600,4.74352941176471
1978,2,7,1296000,5.08235294117647
1978,2,8,1382400,5.42117647058824
1978,2,9,1123200,4.40470588235294
1978,2,10,1123200,4.40470588235294
1978,2,11,1123200,4.40470588235294
1978,2,12,950400,3.72705882352941
1978,2,13,777600,3.04941176470588
1978,2,14,950400,3.72705882352941
1978,2,15,1641600,6.43764705882353
1978,2,16,7257600,28.4611764705882
1978,2,17,3801600,14.9082352941176
1978,2,18,1555200,6.09882352941177
1978,2,19,3888000,15.2470588235294
1978,2,20,2419200,9.48705882352941
1978,2,21,18057600,70.8141176470588
1978,2,22,4752000,18.6352941176471
1978,2,23,2332800,9.14823529411765
1978,2,24,1814400,7.11529411764706
1978,2,25,1468800,5.76
1978,2,26,1209600,4.74352941176471
1978,2,27,1123200,4.40470588235294
1978,2,28,1296000,5.08235294117647
1978,3,1,1209600,4.74352941176471
1978,3,2,1209600,4.74352941176471
1978,3,3,1123200,4.40470588235294
1978,3,4,1123200,4.40470588235294
1978,3,5,1123200,4.40470588235294
1978,3,6,1123200,4.40470588235294
1978,3,7,950400,3.72705882352941
1978,3,8,864000,3.38823529411765
1978,3,9,1296000,5.08235294117647
1978,3,10,2505600,9.82588235294117
1978,3,11,1814400,7.11529411764706
1978,3,12,1296000,5.08235294117647
1978,3,13,1036800,4.06588235294118
1978,3,14,1209600,4.74352941176471
1978,3,15,1123200,4.40470588235294
1978,3,16,950400,3.72705882352941
1978,3,17,864000,3.38823529411765
1978,3,18,864000,3.38823529411765
1978,3,19,777600,3.04941176470588
1978,3,20,777600,3.04941176470588
1978,3,21,1036800,4.06588235294118
1978,3,22,1209600,4.74352941176471
1978,3,23,1209600,4.74352941176471
1978,3,24,1123200,4.40470588235294
1978,3,25,1036800,4.06588235294118
1978,3,26,864000,3.38823529411765
1978,3,27,864000,3.38823529411765
1978,3,28,950400,3.72705882352941
1978,3,29,777600,3.04941176470588
1978,3,30,777600,3.04941176470588
1978,3,31,864000,3.38823529411765
1978,4,1,777600,3.04941176470588
1978,4,2,691200,2.71058823529412
1978,4,3,691200,2.71058823529412
1978,4,4,691200,2.71058823529412
1978,4,5,864000,3.38823529411765
1978,4,6,1555200,6.09882352941177
1978,4,7,7689600,30.1552941176471
1978,4,8,3110400,12.1976470588235
1978,4,9,4406400,17.28
1978,4,10,2764800,10.8423529411765
1978,4,11,1728000,6.77647058823529
1978,4,12,1296000,5.08235294117647
1978,4,13,1123200,4.40470588235294
1978,4,14,950400,3.72705882352941
1978,4,15,950400,3.72705882352941
1978,4,16,950400,3.72705882352941
1978,4,17,950400,3.72705882352941
1978,4,18,1036800,4.06588235294118
1978,4,19,864000,3.38823529411765
1978,4,20,864000,3.38823529411765
1978,4,21,864000,3.38823529411765
1978,4,22,777600,3.04941176470588
1978,4,23,777600,3.04941176470588
1978,4,24,691200,2.71058823529412
1978,4,25,691200,2.71058823529412
1978,4,26,691200,2.71058823529412
1978,4,27,604800,2.37176470588235
1978,4,28,864000,3.38823529411765
1978,4,29,777600,3.04941176470588
1978,4,30,2419200,9.48705882352941
1978,5,1,1382400,5.42117647058824
1978,5,2,1036800,4.06588235294118
1978,5,3,1036800,4.06588235294118
1978,5,4,1036800,4.06588235294118
1978,5,5,864000,3.38823529411765
1978,5,6,691200,2.71058823529412
1978,5,7,691200,2.71058823529412
1978,5,8,604800,2.37176470588235
1978,5,9,604800,2.37176470588235
1978,5,10,604800,2.37176470588235
1978,5,11,604800,2.37176470588235
1978,5,12,518400,2.03294117647059
1978,5,13,777600,3.04941176470588
1978,5,14,1987200,7.79294117647059
1978,5,15,950400,3.72705882352941
1978,5,16,777600,3.04941176470588
1978,5,17,1468800,5.76
1978,5,18,1123200,4.40470588235294
1978,5,19,864000,3.38823529411765
1978,5,20,777600,3.04941176470588
1978,5,21,691200,2.71058823529412
1978,5,22,691200,2.71058823529412
1978,5,23,604800,2.37176470588235
1978,5,24,604800,2.37176470588235
1978,5,25,604800,2.37176470588235
1978,5,26,518400,2.03294117647059
1978,5,27,604800,2.37176470588235
1978,5,28,691200,2.71058823529412
1978,5,29,864000,3.38823529411765
1978,5,30,777600,3.04941176470588
1978,5,31,604800,2.37176470588235
1978,6,1,518400,2.03294117647059
1978,6,2,518400,2.03294117647059
1978,6,3,6912000,27.1058823529412
1978,6,4,2073600,8.13176470588235
1978,6,5,1209600,4.74352941176471
1978,6,6,864000,3.38823529411765
1978,6,7,777600,3.04941176470588
1978,6,8,691200,2.71058823529412
1978,6,9,604800,2.37176470588235
1978,6,10,604800,2.37176470588235
1978,6,11,518400,2.03294117647059
1978,6,12,518400,2.03294117647059
1978,6,13,518400,2.03294117647059
1978,6,14,432000,1.69411764705882
1978,6,15,432000,1.69411764705882
1978,6,16,345600,1.35529411764706
1978,6,17,345600,1.35529411764706
1978,6,18,432000,1.69411764705882
1978,6,19,345600,1.35529411764706
1978,6,20,432000,1.69411764705882
1978,6,21,345600,1.35529411764706
1978,6,22,259200,1.01647058823529
1978,6,23,259200,1.01647058823529
1978,6,24,345600,1.35529411764706
1978,6,25,259200,1.01647058823529
1978,6,26,259200,1.01647058823529
1978,6,27,259200,1.01647058823529
1978,6,28,259200,1.01647058823529
1978,6,29,259200,1.01647058823529
1978,6,30,518400,2.03294117647059
1978,7,1,345600,1.35529411764706
1978,7,2,259200,1.01647058823529
1978,7,3,259200,1.01647058823529
1978,7,4,259200,1.01647058823529
1978,7,5,259200,1.01647058823529
1978,7,6,172800,0.677647058823529
1978,7,7,172800,0.677647058823529
1978,7,8,172800,0.677647058823529
1978,7,9,172800,0.677647058823529
1978,7,10,172800,0.677647058823529
1978,7,11,172800,0.677647058823529
1978,7,12,172800,0.677647058823529
1978,7,13,172800,0.677647058823529
1978,7,14,172800,0.677647058823529
1978,7,15,172800,0.677647058823529
1978,7,16,172800,0.677647058823529
1978,7,17,86400,0.338823529411765
1978,7,18,172800,0.677647058823529
