lc_vel,lc_vel_hi,lc_vel_lo,gc_vel,gc_vel_hi,gc_vel_lo,con_vel,con_vel_hi,con_vel_lo
6.16307841751169,6.7244719863575,5.60168484866588,3.25530038354136,3.51219193397006,2.99840883311266,2.90777803397033,3.72606315324484,2.08949291469582
2.81143233567309,3.50651319674322,2.11635147460296,0.933360919098709,1.71241323339412,0.154308604803296,1.87807141657438,3.35220459193993,0.40393824120884
3.18260730191673,3.90742460263155,2.45779000120191,0.938687679031411,1.61723111648035,0.260144241582473,2.24391962288532,3.64728036104908,0.840558884721563
3.11640788461795,3.84941813394248,2.38339763529341,0.9368546714383,1.62229780565234,0.251411537224256,2.17955321317965,3.59800659671823,0.761099829641069
3.39951603093827,4.0974883511021,2.70154371077445,0.944693703910967,1.60062962429977,0.288757783522163,2.45482232702731,3.80873056757994,1.10091408647468
3.75967298980616,4.42775306877577,3.09159291083655,0.666800034026643,1.3455146376669,-0.0119145696136132,3.09287295577952,4.43966763838939,1.74607827316965
3.92064776753912,4.47422280759297,3.36707272748527,0.809248076419249,1.45389872418227,0.164597428656229,3.11139969111987,4.30962537893674,1.913174003303
4.09357366324873,4.61839863990421,3.56874868659326,1.18123816273715,1.78414669711626,0.578329628358038,2.91233550051158,4.04006901154617,1.784601989477
4.2071240052605,4.70044605359587,3.71380195692513,1.42252902953795,1.99836159847885,0.84669646059705,2.78459497572255,3.85374959299882,1.71544035844628
5.66956142846276,6.21580182425006,5.12332103267547,3.20660085631623,3.47079617067408,2.94240554195838,2.46296057214653,3.27339628229168,1.65252486200139
5.75859919473653,6.30560917666527,5.21158921280779,3.24974964907857,3.49990603370516,2.99959326445197,2.50884954565797,3.3060159122133,1.71168317910263
4.50930126269182,4.95664582459349,4.06195670079015,2.93763821288303,3.35792396855918,2.51735245720687,1.57166304980879,2.43929336738661,0.704032732230971
4.62519983238939,5.06288401831853,4.18751564646026,2.93763821288303,3.35792396855918,2.51735245720687,1.68756161950636,2.54553156111165,0.829591677901077
4.62802674453157,5.07675202004754,4.17930146901559,2.93763821288303,3.35792396855918,2.51735245720687,1.69038853164854,2.55939956284067,0.821377500456412
4.50302550133047,4.95019173773486,4.05585926492608,2.93763821288303,3.35792396855918,2.51735245720687,1.56538728844744,2.43283928052799,0.697935296366901
9.45038912331023,10.3156226241414,8.58515562247909,3.97410760302137,4.64493562849908,3.30327957754367,5.47628152028885,7.0123430465977,3.94021999398001
10.068682941205,10.753753933245,9.38361194916495,4.46604660718932,5.15948378852126,3.77260942585739,5.60263633401566,6.98114450738762,4.22412816064369
9.7367131060937,10.518515646478,8.95491056570945,4.38613880220342,5.07632184736311,3.69595575704373,5.35057430389028,6.82255988943422,3.87858871834634
10.106029547655,10.7802182405063,9.43184085480369,4.52148264689829,5.21717738519972,3.82578790859686,5.58454690075671,6.95443033190944,4.21466346960397
10.2063489299419,10.9074084386648,9.50528942121886,4.57741811038842,5.27539074401042,3.87944547676641,5.62893081955344,7.02796296189843,4.22989867720844
8.82014988147614,9.55813011990116,8.08216964305111,3.22537796518473,3.86098306072613,2.58977286964333,5.59477191629141,6.96835725025783,4.22118658232498
10.8192091562761,11.6844249219607,9.9539933905915,4.7452245008588,5.45003082044253,4.04041818127508,6.07398465541729,7.6440067406856,4.50396257014898
10.6623461221548,11.4855457030219,9.83914654128779,4.70227405567888,5.40533127707002,3.99921683428774,5.96007206647595,7.48632886873413,4.43381526421777
10.6222183692401,11.4346696237585,9.80976711472172,4.69128673249332,5.39389651016078,3.98867695482587,5.93093163674676,7.44599266893259,4.41587060456094
12.0140707267668,13.0454089628184,10.9827324907152,4.59049842669778,5.30484802069767,3.87614883269789,7.42357230006903,9.16926013012048,5.67788447001758
12.5196455249935,13.6080383796439,11.4312526703431,3.18968722815832,3.94039140199227,2.43898305432436,9.3299582968352,11.1690553253196,7.49086126835083
12.1494897149213,13.1840629620264,11.1149164678162,2.85039931739074,3.60990886731791,2.09088976746356,9.29909039753054,11.0931731945628,7.50500760049825
12.1555948373417,13.2046010054755,11.1065886692079,4.52073980116959,5.23689980725322,3.80457979508595,7.63485503617212,9.40002121038958,5.86968886195465
7.43733317010123,8.12000680290458,6.75465953729788,3.05585481829513,3.41512434809773,2.69658528849253,4.3814783518061,5.42342151441205,3.33953518920015
11.4008129917243,12.3265307614214,10.4750952220272,2.39497163265753,3.17348900065053,1.61645426466453,9.00584135906679,10.7100764967569,7.30160622137669
11.9027191748731,12.9014126836147,10.9040256661315,2.85039931739074,3.60990886731791,2.09088976746356,9.05231985748238,10.8105229161511,7.29411679881363
6.57580402811902,7.09168406612741,6.05992399011063,3.19579130891997,3.4832296343879,2.90835298345204,3.38001271919905,4.18333108267537,2.57669435572273
6.57580402811902,7.09168406612741,6.05992399011063,3.18966007092868,3.4802456398855,2.89907450197186,3.38614395719034,4.19260956415555,2.57967835022513
6.6395767436915,7.13388152148291,6.14527196590009,3.17847957812102,3.47480423814582,2.88215491809623,3.46109716557047,4.25172660338668,2.67046772775427
