river_mouth,mean,min,max,se,std,li_mean,li_min,li_max,li_se,li_std,lo_mean,lo_min,lo_max,lo_se,lo_std,hi_mean,hi_min,hi_max,hi_se,hi_std
10,160.13874537845,23.6008474424119,243.888937244388,30.2849505587723,74.1826757544085,168.673266843272,145.889155535775,243.888937244388,3.15852214817178,28.6016345190326,170.510169403806,23.6008474424119,243.888937244388,3.12978673942455,32.8254802519408,NaN,NaN,NaN,NaN,NaN
15,443.068042173711,265.212304626136,663.010822585638,38.0472101240984,131.799402042375,456.391801611851,265.212304626136,663.010822585638,6.24369564773771,128.717083249159,500.210034454211,289.336220893023,663.010822585638,6.09471778704029,110.716046796341,304.18109805419,265.212304626136,350.430210773032,4.19821369903198,40.9191255400244
17,148.909465801465,23.474981101793,350.604499778796,13.0723717748917,64.041281152891,122.291360231897,23.474981101793,190.086179257022,1.78993447185751,37.5459822345784,138.599932920845,23.474981101793,350.604499778796,2.18762121380162,57.0042207601844,139.219426998414,109.661480081661,160.660252400443,1.50492975787085,19.6795101950586
19,426.487821246462,237.364961916496,678.190509205262,15.8403975703366,93.7130558221287,432.914488996164,237.364961916496,678.190509205262,2.53065502533702,85.4447478624662,427.473186873114,237.364961916496,678.190509205262,2.7458637834836,86.5273918595999,469.671040072287,365.345677172687,607.028609422406,5.54763182186605,67.2614612401052
21,301.531124839192,77.1720285721645,501.222048329085,13.1221470702823,90.9129017204801,306.314952875072,77.1720285721645,501.222048329085,2.17479140833875,80.1433502891334,305.160726138799,77.1720285721645,501.222048329085,2.43459619009316,86.3166500235144,342.97446291402,247.248852915979,407.742057434755,2.94214254819283,34.3109833325799
22,213.48097831902,131.304597611433,483.752002579834,21.5245293622731,83.3641437550363,196.177746871932,131.304597611433,483.752002579834,1.66323412612346,37.339513523666,190.697611097625,131.304597611433,483.752002579834,1.67943376333117,35.6657327445116,242.810600347638,241.325737071187,243.864374285763,0.173466369074993,1.26285422896044
26,160.992526686846,89.8235954538948,321.622387280489,13.2695837286662,57.8407744961075,154.464942206566,89.8235954538948,244.176579440165,1.73971721294754,42.150012821614,145.494274751802,89.8235954538948,244.176579440165,1.8520557471042,39.7653232863252,187.286193767249,144.687463686601,244.176579440165,2.99080749096826,33.5717308230007
27,214.267932733809,142.242584975818,267.524233279981,13.773096454053,45.6801931394683,219.081984379903,142.242584975818,267.524233279981,1.90271217163185,37.9589886063136,223.753573416912,142.242584975818,267.524233279981,1.84107284970366,34.834733057308,177.271262498671,148.000133287135,267.524233279981,6.25772256683299,39.577312553255
33,226.736447974175,164.210085041791,281.585443403164,13.8148465302523,39.0742866503715,229.377633414701,164.210085041791,281.585443403164,1.96891235681336,35.220974972592,226.631093799061,164.210085041791,281.585443403164,2.07179486239804,35.3421728249827,256.937737833704,243.965261218199,281.585443403164,3.37925279212128,18.1978332105425
35,267.142557733563,107.41990633652,441.216711410996,16.1582046204773,80.7910231023867,305.888034353678,146.527784435379,441.216711410996,2.78529875108149,62.3434235146003,258.130734192146,107.41990633652,441.216711410996,2.29666866339334,63.5227165374791,370.447737482374,278.199290484546,441.216711410996,7.18905735293725,63.4920353954577
