grdc_id,Qb,Rb,Qbf,Rbf
6688800,26.2256297918949,3.06732512185905e-08,114,1.33333333333333e-07
6690100,22.5577765607886,8.84965734044277e-09,341,1.33777952138093e-07
6983400,2.18895027624309,6.67362889098504e-09,60,1.82926829268293e-07
6983500,1.18756845564074,5.90830077433206e-09,64,3.18407960199005e-07
6983600,16.776560788609,2.19301448217111e-08,426,5.56862745098039e-07
6983700,9.25136944613512,1.20932933936407e-08,101,1.3202614379085e-07
6983750,26.8321467688938,5.32383864462178e-08,138,2.73809523809524e-07
6983800,75.4644030668127,1.98590534386349e-08,422,1.11052631578947e-07
6984100,5.20961362944935,1.14749198886549e-09,46,1.01321585903084e-08
6984300,8.59598418010344,2.36803971903676e-09,62,1.70798898071625e-08
6984500,31.5168846972924,2.11522716089211e-08,154,1.03355704697987e-07
6984700,13.4475205354427,7.26893001915819e-09,67,3.62162162162162e-08
6984800,8.78338910860967,1.82606842174837e-08,42,8.73180873180873e-08
6985050,13.9613910186199,5.47505530141958e-08,209,8.19607843137255e-07
6985100,29.3371678992057,6.93550068539142e-08,222,5.24822695035461e-07
6985150,15.5862541073384,6.54884626358758e-08,215,9.03361344537815e-07
6985200,104.452902519168,7.40800727086295e-08,592,4.19858156028369e-07
6985300,19.8409090909091,6.40029325513196e-08,133,4.29032258064516e-07
6985350,57.7223439211391,5.24748581101265e-08,315,2.86363636363636e-07
6985360,25.4995436568299,5.43700291190404e-08,240,5.11727078891258e-07
6990100,7.71686746987952,1.67394088283721e-08,104,2.25596529284165e-07
6990150,5.47124863088719,5.11331647746466e-08,22,2.05607476635514e-07
6990300,7.50876232201533,7.01753488038816e-09,73,6.82242990654206e-08
6990500,4.26415094339623,1.28438281427597e-08,32,9.63855421686747e-08
