D_along_SW,D_from_SW
730.62,44.9954751647507
467.37,26.6969848994989
536.4,81.555304418583
532.17,40.2489962570252
550.26,45.5770213448432
579.51,30.3360248520651
601.2,90.2057384351817
611.19,86.8554686348811
617.67,107.592022035013
712.8,32.1313719690223
715.77,43.5559359681538
675,11.3466623188538
668.07,28.1766623188538
671.04,35.7366623188538
675.18,61.9266623188538
853.83,34.041890121477
880.65,23.8690359600391
866.25,34.4088013099473
890.64,20.4762106295165
900.72,22.190010421682
832.5,30.9430549289308
930.96,12.6852207203111
923.22,11.4971868849789
921.24,19.001678464301
953.275264928278,14.9260351975633
996.75,9.37998153900498
1012.68,11.903117009684
955.44,16.439462934658
780.39,34.1087305317798
1044.9,23.6071102428778
1023.3,25.9354530913561
745.47,41.5746097322569
747,35.9215584701066
749.79,28.363832514597
