chi_R2,chi_R2_Trunk
0.993541928799398,0.994267448432456
0.969759631865138,0.970632669997244
0.956067406787586,0.988112308784012
0.976405636472792,0.994032839864065
0.960186522163548,0.996151640317938
0.968735617891973,0.989302242969949
0.978290343565883,0.984821373065074
0.990603820179629,0.994966271379317
0.98744478118913,0.9962812035476
0.94628854580676,0.981163943096458
0.995464897340651,0.997102268791788
0.985468466547741,0.985468466547741
0.990691860637521,0.990691860637521
0.97808023471554,0.996317405984099
0.96623084140862,0.981564031627602
0.951952038582079,0.993727046105715
0.985313792220913,0.998199650992379
0.964974419954554,0.996384623219663
0.970544682467594,0.994901416728221
0.993974244327559,0.997350755403393
0.98205709145165,0.992697063097323
0.879946856600288,0.919573917563716
0.975822025382904,0.988181433851094
0.979291401056071,0.996147379078886
0.958303632265565,0.978737817768693
0.985955648997059,0.994783463823071
0.973377361585942,0.987005389982898
0.920929363101953,0.988924236149087
0.943875518672013,0.975191063410821
0.978514780296848,0.977871120050515
0.795917354626286,0.954156931749362
0.992540728006,0.996072094416243
0.946528025876942,0.971337057019187
0.933321946508684,0.981987962395507
