grdc_id,cluster
6688800,2
6690100,1
6983400,1
6983500,1
6983600,1
6983700,1
6983750,3
6983800,2
6984500,2
6984700,2
6984800,2
6985050,0
6985100,0
6985150,0
6985200,3
6985300,3
6985350,3
6985360,0
6990100,1
6990150,3
6990300,1
6990500,2
