GRDC_ID,c_best,c_lo95,c_hi95,c_std,s_best,s_lo95,s_hi95,s_std,mn_best,thresh_best,Npera_best,c_whole,s_whole,mn_whole,k_tail99,k_whole_lin,k_whole_log,mean_R_obs,return2_R_obs,return2_R_best,return2_R_whole,return2_R_k_tail99,return2_R_k_whole_lin,return2_R_k_whole_log
6688800.0,1.190669671431402,0.012098809918401399,-0.0126248177258097,0.006390700982411275,1.070313053868485,0.00825645439296796,0.008436306775182256,0.0042438773727050995,1.0088470754045127,0.2508163265306122,91.5,1.2753235369999012,1.0784424062330096,1.000000087757156,9.046069570298263,8.0935375594826,6.468253171836349,2.650168905286216,11.621052631578944,13.82746914853803,12.54189896604083,10.272338899779518,11.38087551248303,14.40503170475407
6690100.0,0.6229489199284305,0.008939970274751685,-0.00875943916762445,0.004492440651004656,0.6922556932879421,0.020526744928563656,0.021013608646280546,0.010681095454544084,0.9935956111422478,0.058163265306122446,21.2,0.6350898130063873,0.7128493276124355,0.9999870989089753,2.965630951444244,6.738886867698354,3.6397323320965933,0.7646103942142553,11.558415064731273,10.930291255208466,10.622476221320092,14.752737654058729,3.9680823901599527,9.693096373585742
6983400.0,0.4871017023630936,0.005471735320785098,-0.004617688974566159,0.002469347350582161,0.47424282051529687,0.010708168400406337,0.009810897223208437,0.005192549622338855,0.9965375073189947,0.15448979591836734,62.111111111111114,0.4617206557805711,0.426793455770647,1.0000161094058537,2.1322017231798798,11.978717161404827,3.215113961353516,0.5766015361811079,15.804878048780495,13.137702974312273,14.627741915699186,26.52292354982714,1.7877645949498986,9.339188309123518
6983500.0,0.2983667362005992,0.0045891339798505015,-0.004809088110861115,0.002431085612189443,0.10924259113655427,0.007794720337357966,0.00853448168439326,0.004154332002405584,1.0368526634041526,0.046122448979591835,18.666666666666668,0.3375373589406496,0.17463026803698845,0.99993919290259,1.914915393962848,7.784946700147999,2.5193515532257402,0.5104771869022903,28.370149253731345,31.027859248462107,23.816742882714813,33.23922807973372,2.276957360527994,14.631082683888833
6983600.0,0.4122677263706793,0.001918434272034364,-0.002138480448708957,0.001045582993583851,0.31085082802624475,0.00391694596196418,0.0043637537227488865,0.0021110019732719495,0.9525500347671715,0.1304081632653061,52.888888888888886,0.45708425320438917,0.41759594079787915,0.9999859071175228,2.747284875636708,12.27188123441719,3.0106276170363904,1.894764512595838,54.21176470588236,57.147659710257344,49.021946228455576,43.685500496094306,5.774949818072504,35.35002473219534
6983700.0,0.7553762812441411,0.006970700752838455,-0.00728863021233328,0.0035871975916268273,0.7224708517618835,0.007168920027621706,0.00774290920504217,0.00396406441159221,0.8551929965365699,0.26285714285714284,95.88888888888889,0.8681804870678496,0.931077832005551,0.9999893844706051,2.864602216602463,12.245980434601437,4.959451981927708,1.0448605492105545,11.971764705882352,9.168115543946966,8.541763959620997,21.820738384676616,3.189306984325949,7.983618957381744
6983750.0,1.197865033980603,0.04834351978124318,-0.04602447967870349,0.02420477497860974,1.0962956798578396,0.05853029855666936,0.05328609015294283,0.028721202207322365,1.0317115765309857,0.022040816326530613,8.88888888888889,0.9824433885047935,0.9923747585321107,1.00000344105385,6.411482443988316,6.348071214884437,5.304819784505337,4.599796588953215,23.828571428571422,24.349621116941304,31.13032167600708,25.25745614119472,25.550535023701908,32.00853109251376
6983800.0,1.1073295927603326,0.052564149996057186,-0.054471340133517065,0.02791073981878617,1.07598860120228,0.0792944553887821,0.07997422588145486,0.04180097894357926,1.0359859352806104,0.01,4.0,0.9746647384526581,0.9888743307300798,1.0000184689043508,6.278047365423259,6.592955833829859,5.271696685127979,1.7158222170980573,10.413473684210526,10.139476825396926,11.749972432200966,9.655455682223145,9.125703367168565,12.041550096768505
6984500.0,1.2851446953858774,0.023565336212070687,-0.024623629367666933,0.012138778811745755,1.1632954862283773,0.025837669708302258,0.026839511352517054,0.013300462745596897,1.0769311066946232,0.022040816326530613,8.0,1.088501953454761,1.0327364584791787,1.000005908778611,7.347867726727955,7.336052852640386,5.830816420384957,1.827556267010779,9.277852348993289,9.224549044784393,10.675566750433612,8.64341876441876,8.657861774570314,11.247832747604313
6984700.0,1.3238182789001187,0.15816083974650663,-0.16185412645549135,0.07991497187380343,1.2691075363526,0.2077522108622103,0.19152915743612087,0.09932068812876046,1.167959184954395,0.01,3.5555555555555554,0.9863759487334218,0.9941025941644865,0.999986073063855,8.664300007227663,7.020327521343103,5.247945937772878,0.6280355536552676,3.1757837837837837,3.3131924654003395,4.22532941932276,2.530327197073014,3.11679208916085,4.434671398779896
