lat,lon
42.1673439173979,45.1979537279496
42.9728987013012,42.3479366220825
42.4153195483942,42.6204879484402
42.7536251786347,42.8351325557498
42.6284564613996,42.990510072615
42.6086047873504,43.392196050456
42.0470379309786,43.2383076464565
42.0259195470287,43.3624104133488
41.8364688684874,43.2982693255621
42.3201067802296,45.0277503595358
42.2136953535296,45.0284303585896
42.5456971257113,44.6743037387692
42.3939236223594,44.5916530443192
42.3259877965631,44.6277607309243
42.0903618714052,44.6791816569295
41.7854005947581,46.4255774576542
41.7740101071822,46.669592119719
41.7224827779788,46.5496467773778
41.7192460749632,46.7734387877254
41.6368223479517,46.8280623555589
41.9116505035011,46.2284263925331
41.4665382763026,47.1331611488205
41.529723430907,47.0899479216475
41.5045273581225,47.0032657522705
41.286406448234,47.2730235033199
41.1296908846288,47.8355860472603
41.0484151383337,47.9947764600442
41.2280651751452,47.3536448031292
42.1363577124127,45.6753959736337
40.8299395320197,48.2814685578558
41.315782098266,48.3010861817537
42.1630975884366,45.3819940939519
42.2088905037409,45.4167820962065
42.2680878206511,45.4735338703684
